name,wins,kills,kdRatio,killstreak,level,losses,prestige,hits,timePlayed,headshots,averageTime,gamesPlayed,assists,misses,xp,scorePerMinute,shots,deaths
GingerlyLamb0#3070025,110,725,0.7360406091370558,7,16,10,110,2143,176,171,3.6666666666666665,48,120,7667,107444,91.15227272727272,9810,985
iGoLDeN#7371923,544,17023,1.046410130317187,22,146,14,42,58973,1098,2201,2.881889763779528,381,4322,255834,2614539,244.1601092896175,314807,16268
Matboc#1995855,1,67,1.2641509433962264,6,7,1,0,158,16,8,16.0,1,5,615,33125,34.35,773,53
Red_Pyramid20#6786997,678,29340,1.1298086179675768,24,187,12,33,86835,1625,5115,1.998769987699877,813,5310,267174,4364182,240.6395076923077,354009,25969
nicktheslayer#2770754,1,52,1.04,7,3,2,110,290,6,8,3.0,2,18,1259,9539,177.6,1549,50
Bopa Shons#4723326,588,16477,0.9872378669862192,15,132,23,59,36890,1326,2482,1.846796657381616,718,2827,106112,2212447,304.2981900452489,143002,16690
jaynokilsyou#2572371,2,7,0.4375,3,1,1,110,27,3,2,3.0,1,3,159,950,174.2,186,16
caxibaxe#1079664,40,963,0.7070484581497798,9,21,5,10,3791,82,109,2.0,41,327,21163,167645,324.8560975609756,24954,1362
camo_dudeX#9748255,994,31178,1.143894922218961,26,202,29,111,75860,2268,3679,2.162059103908484,1049,5192,242534,5010044,212.6367724867725,318394,27256
aidanrossmayne#3464198,12,217,0.8930041152263375,8,7,3,0,735,31,26,2.583333333333333,12,41,4294,33530,263.4774193548388,5029,243
OscarTheWolf_15#9046250,0,6,0.6,2,1,1,0,24,1,0,1.0,1,1,193,650,265.8,217,10
SoldierOfFortune#8147378,227,6346,0.9863226608641592,12,49,7,15,10598,440,900,2.2564102564102564,195,666,67675,767935,262.74,78273,6434
Prince_Psyz#4730163,0,137,1.1048387096774193,5,11,1,0,161,47,20,47.0,1,12,592,59640,11.859574468085109,753,124
slippymcflippy#7432155,1651,20838,0.7246235699134124,13,156,9,111,55669,2958,4007,2.6552962298025133,1114,3874,239762,3026065,236.4817444219067,295431,28757
MerryBloom33395#4172405,127,196,0.7286245353159851,8,19,3,15,120,135,35,33.75,4,4,491,150100,6.897777777777778,611,269
MERCURY171#6615650,322,10366,0.9458029197080292,17,104,10,3,23103,662,2628,2.1493506493506493,308,2187,68055,1605342,282.4033232628399,91158,10960
CBT SK13S#6557711,27,663,0.740782122905028,7,14,5,0,1961,48,132,2.526315789473684,19,139,7252,86725,265.6,9213,895
Ybarbärka#9387140,35,967,1.1636582430806257,16,17,4,110,3753,60,122,3.1578947368421053,19,185,16300,121085,318.28,20053,831
Nyxfrost#9423244,1168,42762,1.2207250927776192,22,235,11,41,135781,2578,6440,2.6659772492244054,967,7550,497723,6417817,241.32265321955,633504,35030
ЛовкийРыцарь#8212538,125,477,1.1016166281755195,2,28,1,8,18,145,87,24.16666666666667,6,0,96,278310,1.6262068965517242,114,433
Rocket704#5831068,174,3982,0.8827311017512747,21,51,23,14,10707,384,822,2.327272727272727,165,1088,68926,846827,162.0640625,79633,4511
ItzChuy1992#9514134,279,6286,0.9602810876871372,11,51,9,8,24956,559,1353,2.227091633466136,251,1081,83019,833818,293.9109123434705,107975,6546
HTC-DAMER99#8562810,823,35623,0.9120538686056634,19,213,13,59,60700,2071,5542,1.8759057971014488,1104,3877,255778,5477579,263.5037180106229,316478,39058
Youtz3#1079188,77,1260,0.6752411575562701,8,24,5,2,4786,111,257,3.2647058823529416,34,377,25772,208142,260.227027027027,30558,1866
NBACT23#9405840,32,576,0.9014084507042254,7,15,4,30,2228,70,96,3.684210526315789,19,175,8514,100982,199.3714285714286,10742,639
SlickChainzz#9062190,384,11110,1.0116554361682757,13,94,8,34,44388,718,2210,2.62043795620438,274,1702,155205,1446232,257.8754874651811,199593,10982
Poliaknof#7159706,294,20859,0.9268606976227504,13,159,24,111,51034,902,3356,1.6672828096118302,541,3962,174936,3164158,267.5467849223947,225970,22505
josh0590,122,1384,0.580293501048218,1,119,2,110,5,1070,223,1070.0,0,237,38,1903966,0.1390654205607476,43,2385
Kalem65,457,21771,1.0694076038903626,23,174,16,111,60473,1312,4068,2.359712230215828,556,5618,181943,3815413,191.8774390243903,242416,20358
Apecs,189,6844,1.2331531531531532,13,65,13,13,27643,457,1138,1.7713178294573644,258,1325,111967,1071813,296.745295404814,139610,5550
Chegzzz#1531446,118,1971,0.8298947368421052,14,29,6,1,7843,211,267,2.2934782608695654,92,440,51400,294361,297.0,59243,2375
FlawlessTrusa#9270025,254,579,0.9846938775510204,5,42,1,70,72,308,120,308.0,1,2,342,576281,0.753896103896104,414,588
twiztjoints420#8770163,78,801,0.7001748251748252,6,18,5,0,3773,133,149,2.770833333333333,48,281,22442,130322,262.8045112781955,26215,1144
dodybegay#2060733,1124,22373,0.907921434948462,14,163,9,110,59368,2417,3411,2.45131845841785,986,2948,278495,3333187,222.5558129913116,337863,24642
brad_e,164,5320,1.084386465552385,19,50,7,21,19140,373,990,2.4220779220779223,154,774,83778,791987,272.53029490616626,102918,4906
Spicy Ramen#4146696,337,6725,0.8141646489104116,11,74,25,33,20683,794,1398,2.6466666666666665,300,1455,104724,1168724,233.08866498740556,125407,8260
chubby_coo300#9002242,632,23494,0.9498665804156222,13,222,22,97,70343,2366,3279,3.409221902017291,694,5131,289675,5847104,178.23601014370243,360018,24734
GOLDENBUBAFACE#6412754,585,15289,1.0466899431779284,13,199,11,113,44407,1814,2386,3.9094827586206895,464,3451,191529,4859018,108.4792723263506,235936,14607
WARRIOR HUNTER0#2670324,334,7422,0.8032467532467532,14,92,7,111,19487,1146,1748,3.8979591836734695,294,1117,110959,1407178,159.8162303664921,130446,9240
sN0ogIn5#3127389,115,3496,0.9285524568393094,11,42,9,25,6097,267,589,2.3217391304347825,115,409,30719,570335,283.6269662921348,36816,3765
Leo#1331876,151,963,1.024468085106383,5,59,4,110,376,381,145,63.5,6,17,1478,1004061,3.784251968503937,1854,940
anon58589014#2976628,307,10001,0.9784756873104392,22,87,9,10,44371,579,1996,2.372950819672131,244,2203,163901,1339360,312.4518134715026,208272,10221
Gibbosproperty#8764596,226,6069,0.9954075774971296,15,53,8,111,26883,455,976,2.2979797979797985,198,1480,111285,897820,319.6325274725275,138168,6097
Sivox61#2517512,2,60,0.8571428571428571,6,3,1,32,274,4,20,2.0,2,21,1112,10410,247.35,1386,70
Therichkid13_#5486329,468,10557,1.0612183353437876,16,226,10,110,14048,1888,2107,16.857142857142858,112,928,72546,6020903,34.82351694915254,86594,9948
UrsoJudeo#5325166,5,41,0.4823529411764706,0,9,1,8,0,43,7,43.0,0,0,4,42144,0.4744186046511628,4,85
Blaze_105,256,4046,0.920172845121674,15,45,10,110,16204,469,679,2.742690058479532,171,749,74699,645805,240.2712153518124,90903,4397
AngryChicken#1420647,3,56,0.9655172413793104,7,4,1,6,221,11,6,11.0,1,11,672,14792,115.03636363636365,893,58
Neon_Frost88#7491656,260,10324,0.8545650194520321,14,127,18,110,35597,906,1413,2.6884272997032643,337,2911,131140,2089837,176.65033112582782,166737,12081
Soriba_Ps#1553042,396,8376,0.979420018709074,14,141,6,111,21631,1035,1361,5.75,180,1524,87000,2463950,115.16173913043478,108631,8552
CAT IN THE HAT#6755025,1080,22216,0.8723788580852901,15,232,16,111,61932,3510,4305,4.053117782909931,866,3820,197269,6270847,150.1382905982906,259201,25466
hounddoghalliday#1907055,561,8959,0.8072625698324022,11,84,10,49,39977,1103,1874,2.166994106090373,509,1996,209150,1295760,251.60997280145057,249127,11098
Romeo31#1251008,262,5049,0.9215185252783354,13,69,9,111,8156,946,902,5.031914893617022,188,687,44073,1114779,125.72600422832976,52229,5479
Daskunk4799#4027710,32,594,1.1020408163265305,6,13,4,1,1920,61,142,2.3461538461538463,26,109,11289,82815,222.5114754098361,13209,539
cadorade420,11,187,0.5632530120481928,7,11,3,5,433,75,30,12.5,6,32,2544,65110,75.896,2977,332
BoredKing2#3260114,248,4331,1.4135117493472584,11,182,5,111,3812,1125,850,43.26923076923077,26,420,14897,4132907,13.276266666666668,18709,3064
IhateUrFace#9516971,106,2438,0.6525695931477516,8,37,7,111,4432,316,223,3.2244897959183683,98,576,36412,448452,231.0512658227848,40844,3736
eddy_steph1108#8582315,8,48,0.5106382978723404,5,2,1,0,196,12,9,4.0,3,19,2552,6765,259.6,2748,94
MyPxssyStank#5670238,247,4807,0.9097274791824376,12,46,12,7,12885,504,1032,2.200873362445414,229,761,40365,695135,194.6154761904762,53250,5284
Reaxian#5376104,54,2270,0.8707326428845417,19,32,13,7,9333,126,409,1.8,70,864,39494,351548,247.1380952380952,48827,2607
UCD_281771230356dRkdHOSDJIuc,246,5952,0.9888685828210666,15,53,18,14,23816,546,1061,2.014760147601476,271,1272,83807,904189,271.0054945054945,107623,6019
Kasai__98#7033288,507,9492,0.7620423892100193,9,90,8,39,16646,1003,1721,2.166306695464363,463,1040,96260,1383218,277.38843469591234,112906,12456
Thinfathead89#4174895,48,411,0.3866415804327376,5,11,4,110,1029,93,65,2.3846153846153846,39,86,11138,60235,301.2451612903226,12167,1063
MACONHEIRO_4i20#9317450,689,22423,1.0646187446586268,13,207,10,110,62079,2040,3733,4.047619047619048,504,5052,272867,5190281,145.7767647058824,334946,21062
SD#9632134,5,247,1.1026785714285714,8,9,2,0,940,9,48,2.25,4,111,3367,47225,230.4,4307,224
ElFistoLibre#2540624,123,3314,1.0263239393000931,12,38,8,14,8374,285,713,1.8387096774193548,155,690,30813,478459,278.5957894736842,39187,3229
